Região/Unidade da Federação;Qtd.aprovada
Região Norte;18533
 Acre;16
 Amazonas;1644
 Roraima;253
 Pará;555
 Amapá;14781
 Tocantins;1284
Região Nordeste;46046
 Maranhão;3410
 Piauí;656
 Ceará;6383
 Rio Grande do Norte;2770
 Paraíba;14465
 Pernambuco;7559
 Alagoas;688
 Sergipe;7275
 Bahia;2840
Região Sudeste;276159
 Minas Gerais;62666
 Espírito Santo;737
 Rio de Janeiro;47158
 São Paulo;165598
Região Sul;20709
 Paraná;5596
 Santa Catarina;10395
 Rio Grande do Sul;4718
Região Centro-Oeste;46698
 Mato Grosso do Sul;5452
 Mato Grosso;11580
 Goiás;4649
 Distrito Federal;25017
Total;408145
